"","RDA1","RDA2"
"nTaxA",0.512016156039843,-0.659624222515953
"invReg",0.356115545402157,0.693097464764708
"invExtr",0.350883182084318,0.388018176250201
"nPhyAES",-0.193737783922343,0.282612443463639
"invProv",0.287616381212779,0.198114108393035
"nPhyBtotES",-0.335567052276468,0.45665512262371
"nTaxBtot",-0.362733738703617,0.614651400281264
"wsTemp",0.228433205296394,-0.443787308993011
"nFunBtotES",0.291261327043016,-0.332119889705912
"HAI",0.181683753259615,-0.202483908887844
"nFunAES",-0.101717370261967,0.203062355232421
"FishDemand",0.0653062718657695,-0.153813515439821
"wsArea",0.207739323516714,0.048130299075483
"wsBFI",-0.264269903605848,0.510081780969176
"wsElev",-0.233479080083283,0.599400434783363
