"","RDA1","RDA2"
"invReg",-0.684971022324457,0.236363048397142
"invExtr",-0.433838698823241,-0.228980275737467
"nTaxA",-0.0696558704707501,-0.415258775806376
"nPhyBtot",0.215551828779889,-0.0259863861217235
"nFunBtot",-0.087889743269034,0.758019337188518
"invProv",-0.275517592323799,-0.0400516826590658
"nTaxBtot",0.00362328681559182,0.651662245200931
"wsTemp",-0.0105762683247262,-0.0802686163848198
"FishDemand",0.0378394373656038,0.0898197629554328
"nPhyAES",0.00824273726316736,0.336864242201524
"HAI",-0.0825920497953572,0.074331205483952
"wsArea",-0.300137530573482,0.0810697544085693
"wsElev",-0.157835607652482,0.308304874841085
